
Time, Event 



4/13/2021 11:58:48 PM,Glanceable Session Started


4/13/2021 11:58:48 PM,Glanceable Session Started


4/13/2021 11:59:10 PM,ACI Session Started
4/13/2021 11:59:12 PM, is Blocking a face
4/13/2021 11:59:12 PM, isnotBlocking a face
4/13/2021 11:59:16 PM, is Blocking a face
4/13/2021 11:59:16 PM, isnotBlocking a face
4/13/2021 11:59:22 PM, Manually made Opaque
4/13/2021 11:59:22 PM, Manually made Translucent
4/13/2021 11:59:23 PM, Manually made Opaque


4/13/2021 11:59:26 PM,Glanceable Session Started
4/13/2021 11:59:31 PM, Manually made Translucent


4/13/2021 11:59:35 PM,ACI Session Started


4/13/2021 11:59:36 PM,Glanceable Session Started


4/13/2021 11:59:37 PM,ACI Session Started
4/13/2021 11:59:38 PM, is Blocking a face
Time, Event 



4/14/2021 12:00:26 AM,Glanceable Session Started


4/14/2021 12:00:26 AM,Glanceable Session Started
4/14/2021 12:00:30 AM, Manually made Translucent


4/14/2021 12:00:42 AM,Glanceable Session Started
4/14/2021 12:01:06 AM, Manually made Translucent
4/14/2021 12:01:07 AM, Manually made Opaque


4/14/2021 12:01:12 AM,ACI Session Started
4/14/2021 12:01:17 AM, is Blocking a face
4/14/2021 12:01:17 AM, isnotBlocking a face
4/14/2021 12:01:22 AM, is Blocking a face
4/14/2021 12:01:22 AM, isnotBlocking a face
4/14/2021 12:01:26 AM, is Blocking a face
4/14/2021 12:01:26 AM, isnotBlocking a face
4/14/2021 12:01:30 AM, is Blocking a face
4/14/2021 12:01:30 AM, isnotBlocking a face
4/14/2021 12:01:46 AM, is Blocking a face
4/14/2021 12:01:46 AM, isnotBlocking a face
4/14/2021 12:01:48 AM, is Blocking a face
4/14/2021 12:01:48 AM, isnotBlocking a face
4/14/2021 12:01:48 AM, is Blocking a face
4/14/2021 12:01:48 AM, isnotBlocking a face
4/14/2021 12:01:54 AM, Manually made Opaque
4/14/2021 12:01:55 AM, Manually made Translucent
4/14/2021 12:01:57 AM, is Blocking a face
4/14/2021 12:01:57 AM, isnotBlocking a face
4/14/2021 12:01:58 AM, is Blocking a face
4/14/2021 12:01:58 AM, isnotBlocking a face
4/14/2021 12:01:59 AM, is Blocking a face
4/14/2021 12:01:59 AM, isnotBlocking a face
Time, Event 



4/14/2021 10:05:43 AM,Glanceable Session Started


4/14/2021 10:05:43 AM,Glanceable Session Started


4/14/2021 10:05:52 AM,ACI Session Started


4/14/2021 10:05:58 AM,Glanceable Session Started


4/14/2021 10:06:00 AM,ACI Session Started
Time, Event 



4/14/2021 10:07:06 AM,Glanceable Session Started


4/14/2021 10:07:06 AM,Glanceable Session Started


4/14/2021 10:07:12 AM,ACI Session Started


4/14/2021 10:07:14 AM,Glanceable Session Started


4/14/2021 10:07:15 AM,ACI Session Started
4/14/2021 10:07:21 AM, Manually made Opaque
4/14/2021 10:07:22 AM, Manually made Translucent
4/14/2021 10:07:23 AM, is Blocking a face
4/14/2021 10:07:24 AM, isnotBlocking a face
4/14/2021 10:07:27 AM, is Blocking a face
4/14/2021 10:07:27 AM, isnotBlocking a face
