
Time, Event 



4/13/2021 11:58:48 PM, Session Changed to Solo Glanceable
4/13/2021 11:58:54 PM, App answers changed to 1
4/13/2021 11:58:59 PM, App answers changed to 3
4/13/2021 11:59:04 PM, App answers changed to 5
4/13/2021 11:59:09 PM, App answers changed to 4


4/13/2021 11:59:10 PM, Session Changed to ACI
4/13/2021 11:59:11 PM, 1Faces
4/13/2021 11:59:14 PM, App answers changed to 0
4/13/2021 11:59:19 PM, App answers changed to 1
4/13/2021 11:59:24 PM, App answers changed to 4


4/13/2021 11:59:26 PM, Session Changed to Social Glanceable
4/13/2021 11:59:29 PM, App answers changed to 2
4/13/2021 11:59:34 PM, App answers changed to 5


4/13/2021 11:59:35 PM, Session Changed to ACI
4/13/2021 11:59:35 PM, 1Faces


4/13/2021 11:59:36 PM, Session Changed to Social Glanceable


4/13/2021 11:59:37 PM, Session Changed to ACI
4/13/2021 11:59:38 PM, 1Faces
4/13/2021 11:59:39 PM, App answers changed to 0
Time, Event 



4/14/2021 12:00:26 AM, Session Changed to Solo Glanceable
4/14/2021 12:00:32 AM, App answers changed to 1
4/14/2021 12:00:37 AM, App answers changed to 2
4/14/2021 12:00:42 AM, App answers changed to 4


4/14/2021 12:00:42 AM, Session Changed to Social Glanceable
4/14/2021 12:00:47 AM, App answers changed to 3
4/14/2021 12:00:52 AM, App answers changed to 2
4/14/2021 12:00:57 AM, App answers changed to 3
4/14/2021 12:01:02 AM, App answers changed to 4
4/14/2021 12:01:08 AM, App answers changed to 1


4/14/2021 12:01:12 AM, Session Changed to ACI
4/14/2021 12:01:12 AM, 1Faces
4/14/2021 12:01:13 AM, App answers changed to 2
4/14/2021 12:01:18 AM, App answers changed to 3
4/14/2021 12:01:23 AM, App answers changed to 1
4/14/2021 12:01:28 AM, App answers changed to 4
4/14/2021 12:01:33 AM, App answers changed to 3
4/14/2021 12:01:38 AM, App answers changed to 5
4/14/2021 12:01:41 AM, 0Faces
4/14/2021 12:01:43 AM, App answers changed to 1
4/14/2021 12:01:44 AM, 1Faces
4/14/2021 12:01:48 AM, App answers changed to 3
4/14/2021 12:01:53 AM, App answers changed to 0
4/14/2021 12:01:58 AM, App answers changed to 5
Time, Event 



4/14/2021 10:05:43 AM, Session Changed to Solo Glanceable


4/14/2021 10:05:52 AM, Session Changed to ACI
4/14/2021 10:05:53 AM, App answers changed to 1
4/14/2021 10:05:53 AM, 1Faces
4/14/2021 10:05:58 AM, App answers changed to 2


4/14/2021 10:05:58 AM, Session Changed to Social Glanceable


4/14/2021 10:06:00 AM, Session Changed to ACI
4/14/2021 10:06:02 AM, 1Faces
4/14/2021 10:06:04 AM, App answers changed to 4
Time, Event 



4/14/2021 10:07:06 AM, Session Changed to Solo Glanceable
4/14/2021 10:07:11 AM, App answers changed to 1


4/14/2021 10:07:12 AM, Session Changed to ACI
4/14/2021 10:07:13 AM, 1Faces


4/14/2021 10:07:14 AM, Session Changed to Social Glanceable


4/14/2021 10:07:15 AM, Session Changed to ACI
4/14/2021 10:07:16 AM, 1Faces
4/14/2021 10:07:17 AM, App answers changed to 3
